*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-53   53-77  77-100     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2013 275    10    18     1    39.1   23.9   15.2    9.81    4.42    2.71    0.60    0.49    0.50   10.08    1.73    1.74    0.21    0.21    0.21   14.93   24.23    0.00    1.89    0.00   13.04    0.00    0.00    0.00
 2013 276    11    18     1    40.6   26.2   14.3   11.37    4.55    2.97    0.71    0.51    0.52    8.77    1.78    1.81    0.19    0.20    0.20   16.64   26.57    0.00    2.12    0.00   14.52    0.00    0.00    0.00
 2013 277    12    18     1    42.0   28.3   13.7   13.61    4.58    3.10    0.74    0.53    0.54    7.75    1.82    1.86    0.18    0.18    0.18   18.30   28.68    0.00    2.35    0.00   15.95    0.00    0.00    0.00
 2013 278    13    18     1    43.4   30.3   13.1   15.74    4.59    3.23    0.76    0.55    0.55    6.92    1.85    1.90    0.17    0.17    0.17   19.90   30.64    0.00    2.57    0.00   17.34    0.00    0.00    0.00
 2013 279    14    18     1    44.8   32.2   12.6   16.75    4.85    3.52    0.78    0.57    0.58    6.21    1.87    1.93    0.16    0.16    0.16   21.52   32.55    0.00    2.79    0.00   18.73    0.00    0.00    0.00
 2013 280    15    18     1    46.1   34.0   12.1   17.63    5.12    3.83    0.80    0.59    0.60    5.62    1.88    1.94    0.15    0.15    0.15   23.13   34.40    0.00    3.01    0.00   20.12    0.00    0.00    0.00
 2013 281    16    18     1    47.5   35.8   11.7   18.39    5.40    4.15    0.82    0.61    0.62    5.12    1.88    1.94    0.14    0.14    0.14   24.73   36.20    0.00    3.24    0.00   21.49    0.00    0.00    0.00
 2013 282    17    18     1    48.8   37.6   11.3   19.07    5.68    4.48    0.84    0.63    0.64    4.69    1.86    1.94    0.13    0.13    0.14   26.33   38.00    0.00    3.46    0.00   22.87    0.02    0.00    0.00
 2013 283    18    18     1    49.9   39.1   10.8   19.55    5.91    4.81    0.86    0.65    0.65    4.28    1.82    1.91    0.13    0.13    0.13   27.95   39.79    0.00    3.69    0.00   24.26    0.33    0.00    0.00
 2013 284    19    18     1    51.0   40.7   10.3   15.01    8.26    5.42    0.88    0.66    0.67    3.80    1.79    1.88    0.12    0.12    0.12   29.64   41.67    0.00    3.94    0.00   25.70    0.70    0.00    0.00
 2013 285    20    18     1    52.0   42.1    9.9   15.38    8.63    5.71    0.88    0.67    0.68    3.37    1.77    1.85    0.12    0.12    0.12   31.36   43.50    0.00    4.20    0.00   27.16    1.12    0.00    0.00
 2013 286    21    18     1    53.0   43.5    9.5   14.83    9.18    5.99    0.97    0.68    0.69    3.04    1.75    1.82    0.11    0.11    0.11   33.04   45.21    0.00    4.45    0.00   28.59    1.58    0.00    0.00
 2013 287    22    18     1    53.7   44.5    9.2   14.40    9.48    6.27    1.06    0.69    0.70    2.77    1.73    1.79    0.11    0.11    0.11   34.69   46.84    0.00    4.70    0.00   29.99    2.23    0.00    0.00
 2013 288    23    18     1    54.4   45.5    8.9   16.49    9.14    6.26    1.06    0.69    0.71    2.56    1.71    1.77    0.11    0.10    0.10   36.30   48.38    0.00    4.95    0.00   31.36    2.86    0.00    0.00
 2013 289    24    18     1    54.9   46.2    8.6   19.05    8.63    6.09    1.05    0.70    0.71    2.38    1.68    1.73    0.10    0.10    0.10   37.82   49.84    0.00    5.18    0.00   32.64    3.70    0.00    0.00
 2013 290    25    18     1    55.1   46.8    8.3   19.15    8.66    6.23    1.06    0.71    0.73    2.23    1.63    1.68    0.10    0.10    0.10   39.30   51.26    0.00    5.40    0.00   33.90    4.68    0.00    0.00
 2013 291    26    18     1    55.3   47.2    8.1   19.25    8.67    6.35    1.08    0.72    0.74    2.10    1.59    1.63    0.10    0.09    0.10   40.72   52.61    0.00    5.62    0.00   35.10    5.70    0.00    0.00
 2013 292    27    18     1    55.2   47.4    7.8   18.88    8.81    6.40    1.09    0.74    0.75    1.98    1.53    1.58    0.10    0.09    0.09   42.05   53.89    0.00    5.82    0.00   36.23    6.95    0.00    0.00
 2013 293    28    18     1    55.5   47.9    7.5   18.95    8.85    6.53    1.11    0.75    0.77    1.89    1.49    1.54    0.10    0.09    0.09   43.46   55.23    0.00    6.03    0.00   37.43    7.85    0.00    0.00
 2013 294    29    18     1    55.2   47.9    7.3   18.76    8.79    6.57    1.12    0.76    0.78    1.79    1.43    1.49    0.09    0.09    0.09   44.75   56.44    0.00    6.22    0.00   38.53    9.22    0.00    0.00
 2013 295    30    18     1    53.2   46.3    6.9   17.93    8.40    6.29    1.12    0.77    0.79    1.68    1.36    1.41    0.09    0.09    0.09   45.91   57.51    0.00    6.39    0.00   39.52   12.19    0.00    0.00
 2013 296    31    18     1    52.9   46.1    6.7   17.83    8.30    6.27    1.13    0.78    0.80    1.62    1.32    1.37    0.09    0.09    0.09   46.95   58.46    0.00    6.54    0.00   40.41   13.41    0.00    0.00
 2013 297    32    18     1    52.3   45.8    6.5   15.73    9.15    6.19    1.14    0.80    0.81    1.57    1.27    1.34    0.09    0.08    0.09   47.87   59.30    0.00    6.68    0.00   41.19   14.74    0.00    0.00
 2013 298    33    18     1    51.3   44.9    6.4   14.95    9.03    6.09    1.14    0.81    0.83    1.54    1.24    1.30    0.09    0.08    0.08   48.83   60.12    0.00    6.81    0.00   42.02   16.54    0.00    0.00
 2013 299    34    18     1    49.3   43.2    6.1   16.59    8.02    5.45    1.11    0.81    0.83    1.47    1.18    1.23    0.09    0.08    0.08   49.61   60.84    0.00    6.92    0.00   42.69   19.18    0.00    0.00
 2013 300    35    18     1    47.4   41.6    5.8   15.97    7.58    5.17    1.09    0.81    0.84    1.41    1.12    1.17    0.09    0.08    0.08   50.26   61.47    0.00    7.01    0.00   43.25   21.67    0.00    0.00
 2013 301    36    18     1    45.4   39.8    5.5   15.54    7.09    4.85    1.05    0.81    0.85    1.35    1.05    1.09    0.09    0.08    0.08   50.80   62.05    0.00    7.08    0.00   43.72   24.20    0.00    0.00
 2013 302    37    18     1    43.9   38.7    5.2   15.48    6.75    4.61    1.00    0.81    0.86    1.31    0.98    1.02    0.09    0.08    0.08   51.25   62.59    0.00    7.14    0.00   44.11   26.02    0.00    0.00
 2013 303    38    18     1    42.6   37.7    5.0   15.67    6.43    4.38    0.94    0.80    0.86    1.28    0.91    0.95    0.09    0.08    0.08   51.64   63.08    0.00    7.19    0.00   44.46   27.65    0.00    0.00
 2013 304    39    18     1    40.4   35.7    4.7   15.84    5.94    3.97    0.81    0.77    0.86    1.25    0.84    0.87    0.09    0.08    0.08   51.98   63.54    0.00    7.23    0.00   44.75   30.20    0.00    0.00
 2013 305    40    18     1    39.7   35.2    4.5   15.68    5.84    3.91    0.78    0.77    0.87    1.21    0.79    0.82    0.09    0.08    0.08   52.31   63.97    0.00    7.26    0.00   45.04   31.13    0.00    0.00
 2013 306    41    18     1    39.6   35.3    4.3   15.69    5.84    3.93    0.77    0.77    0.87    1.19    0.74    0.79    0.09    0.08    0.08   52.60   64.37    0.00    7.30    0.00   45.30   31.50    0.00    0.00
 2013 307    42    18     1    38.3   34.2    4.1   15.31    5.72    3.80    0.70    0.74    0.87    1.16    0.69    0.74    0.08    0.08    0.08   52.86   64.75    0.00    7.33    0.00   45.53   33.00    0.00    0.00
 2013 308    43    18     1    38.6   34.6    4.0   15.48    5.74    3.85    0.71    0.75    0.88    1.15    0.65    0.70    0.08    0.08    0.08   53.12   65.12    0.00    7.36    0.00   45.76   33.00    0.00    0.00
 2013 309    44    18     1    38.4   34.6    3.8   15.34    5.76    3.88    0.71    0.75    0.88    1.16    0.61    0.67    0.08    0.08    0.08   53.38   65.47    0.00    7.39    0.00   45.99   33.36    0.00    0.00
 2013 310    45    18     1    36.9   33.3    3.7    6.48    9.39    3.87    0.67    0.73    0.87    1.11    0.58    0.63    0.08    0.08    0.08   53.64   65.80    0.00    7.42    0.00   46.22   35.08    0.00    0.00
 2013 311    46    18     1    37.5   33.6    3.8    5.41    9.60    4.23    0.68    0.74    0.88    1.16    0.69    0.60    0.08    0.08    0.08   54.22   66.18    0.00    7.49    0.00   46.73   35.08    0.00    0.00
 2013 312    47    18     1    35.7   31.8    3.9    5.80    8.49    4.01    0.66    0.73    0.88    1.17    0.78    0.58    0.08    0.08    0.08   54.87   66.57    0.00    7.58    0.00   47.29   37.41    0.00    0.00
 2013 313    48    18     1    32.7   28.9    3.9    5.76    6.93    3.78    0.63    0.71    0.86    1.12    0.81    0.56    0.08    0.08    0.08   55.42   66.92    0.00    7.64    0.00   47.77   40.85    0.00    0.00
 2013 314    49    64     2    75.5   25.7   49.8    4.79    5.53    3.70    0.58    0.69    0.84   66.76    0.80    0.54    0.08    0.08    0.08   55.87   67.25    0.00    7.70    0.00   48.17   44.46    0.00    0.00
 2013 315    50    64     2    72.2   28.5   43.7    9.63    5.17    3.67    0.56    0.68    0.84   58.13    0.80    0.53    0.08    0.08    0.08   56.22   71.04    0.00    7.77    0.00   48.45   48.06    0.00    0.00
 2013 316    51    64     2    68.8   30.1   38.7   13.27    4.77    3.61    0.52    0.65    0.82   51.17    0.76    0.51    0.08    0.08    0.08   56.50   74.16    0.00    7.83    0.00   48.67   51.63    0.00    0.00
 2013 317    52    64     2    66.7   31.0   35.7   16.35    4.35    3.54    0.46    0.61    0.79   46.99    0.72    0.48    0.08    0.08    0.08   56.72   76.69    0.00    7.87    0.00   48.85   53.89    0.00    0.00
 2013 318    53    64     2    65.7   32.1   33.6   19.22    4.07    3.49    0.40    0.57    0.75   44.19    0.68    0.46    0.08    0.07    0.08   56.91   78.90    0.00    7.90    0.00   49.01   55.01    0.00    0.00
 2013 319    54    64     2    64.4   36.2   28.2   24.90    4.09    3.51    0.41    0.57    0.76   36.58    0.65    0.44    0.08    0.07    0.08   57.25   83.52    0.00    8.00    0.00   49.24   56.52    0.00    0.00
 2013 320    55    64     2    63.7   38.3   25.4   11.49   10.66    4.61    0.41    0.57    0.76   32.69    0.63    0.42    0.08    0.07    0.08   57.48   86.06    0.00    8.06    0.00   49.42   57.34    0.00    0.00
 2013 321    56    64     2    61.2   40.3   20.9   14.05    8.98    5.81    0.41    0.57    0.76   25.96    0.77    0.42    0.08    0.07    0.08   58.20   89.69    0.00    8.19    0.00   50.01   60.47    0.00    0.00
 2013 322    57    64     2    60.0   42.2   17.8   17.09    9.07    5.61    0.41    0.58    0.76   21.23    0.86    0.47    0.08    0.07    0.08   59.04   92.71    0.00    8.33    0.00   50.72   62.39    0.00    0.00
 2013 323    58    64     2    57.2   42.2   15.0   19.34    8.42    5.33    0.41    0.57    0.76   17.05    0.91    0.51    0.08    0.07    0.08   59.82   94.99    0.00    8.46    0.00   51.36   65.75    0.00    0.00
 2013 324    59    64     2    54.3   41.3   13.0   19.00    8.22    5.13    0.41    0.57    0.76   14.08    0.92    0.55    0.08    0.07    0.08   60.47   96.58    0.00    8.56    0.00   51.91   69.23    0.00    0.00
 2013 325    60    64     2    51.0   40.0   11.0   18.78    7.76    4.94    0.40    0.57    0.76   11.17    0.90    0.58    0.07    0.07    0.07   61.07   98.06    0.00    8.65    0.00   52.42   72.97    0.00    0.00
 2013 326    61    64     2    47.7   38.0    9.8   17.10    7.69    4.61    0.39    0.56    0.75    9.43    0.87    0.59    0.07    0.07    0.07   61.55   99.02    0.00    8.72    0.00   52.83   76.68    0.00    0.00
 2013 327    62    64     2    44.7   36.4    8.2    9.51   10.65    4.48    0.38    0.55    0.74    7.23    0.84    0.60    0.07    0.07    0.07   62.04  100.12    0.00    8.79    0.00   53.26   80.19    0.00    0.00
 2013 328    63    64     2    41.9   34.7    7.2    8.91    9.80    4.43    0.38    0.55    0.74    5.62    0.89    0.60    0.07    0.07    0.07   62.79  101.19    0.00    8.90    0.00   53.89   83.61    0.00    0.00
 2013 329    64    64     2    39.0   32.7    6.3    5.89    8.82    5.16    0.37    0.54    0.73    4.39    0.92    0.60    0.07    0.07    0.07   63.53  102.09    0.00    9.00    0.00   54.52   87.08    0.00    0.00
 2013 330    65    64     2    36.5   30.7    5.8    5.37    7.29    5.41    0.37    0.54    0.73    3.49    0.97    0.63    0.07    0.07    0.07   64.41  102.92    0.00    9.12    0.00   55.29   90.35    0.00    0.00
 2013 331    66    64     2    34.1   28.6    5.5    4.15    6.61    5.31    0.36    0.53    0.72    2.84    0.99    0.68    0.07    0.07    0.07   65.30  103.64    0.00    9.24    0.00   56.06   93.53    0.00    0.00
 2013 332    67    64     2    32.6   27.3    5.3    4.21    6.01    5.08    0.36    0.53    0.72    2.43    1.02    0.72    0.07    0.07    0.07   66.23  104.33    0.00    9.36    0.00   56.86   95.78    0.00    0.00
 2013 333    68    64     2    31.0   25.8    5.2    4.46    5.40    4.70    0.36    0.53    0.72    2.11    1.04    0.75    0.07    0.07    0.07   67.11  104.97    0.00    9.47    0.00   57.64   98.23    0.00    0.00
 2013 334    69    64     2    29.5   24.4    5.1    4.29    4.93    4.45    0.35    0.52    0.71    1.88    1.03    0.77    0.07    0.07    0.07   67.88  105.53    0.00    9.57    0.00   58.31  100.36    0.00    0.00
 2013 335    70    64     2    28.1   23.1    4.9    4.14    4.49    4.19    0.35    0.52    0.71    1.72    1.01    0.78    0.07    0.07    0.07   68.54  106.03    0.00    9.65    0.00   58.89  102.39    0.00    0.00
 2013 336    71    64     2    26.3   21.5    4.8    2.19    4.93    3.85    0.34    0.51    0.69    1.59    0.97    0.77    0.07    0.07    0.07   69.10  106.48    0.00    9.71    0.00   59.39  104.62    0.00    0.00
 2013 337    72    64     2    24.6   20.0    4.6    2.07    4.37    3.58    0.33    0.50    0.68    1.41    0.97    0.76    0.07    0.07    0.07   69.83  107.00    0.00    9.79    0.00   60.04  106.94    0.00    0.00
 2013 338    73    64     2    23.1   18.6    4.5    2.15    3.73    3.33    0.32    0.49    0.67    1.30    0.97    0.75    0.07    0.07    0.07   70.58  107.50    0.00    9.88    0.00   60.70  109.17    0.00    0.00
 2013 339    74    64     2    21.6   17.2    4.4    2.18    3.23    3.08    0.31    0.47    0.66    1.21    0.94    0.74    0.07    0.07    0.07   71.20  107.94    0.00    9.94    0.00   61.26  111.19    0.00    0.00
 2013 340    75    64     2    20.1   15.9    4.2    1.97    2.86    2.86    0.30    0.46    0.64    1.13    0.89    0.72    0.07    0.07    0.07   71.68  108.34    0.00    9.99    0.00   61.69  113.09    0.00    0.00
 2013 341    76    64     2    18.8   14.8    4.0    1.99    2.57    2.62    0.27    0.43    0.61    1.09    0.83    0.69    0.07    0.07    0.07   72.03  108.69    0.00   10.03    0.00   62.01  114.72    0.00    0.00
 2013 342    77    64     2    18.1   14.2    3.9    2.09    2.43    2.49    0.26    0.41    0.58    1.08    0.78    0.66    0.07    0.07    0.07   72.30  109.02    0.00   10.05    0.00   62.25  115.73    0.00    0.00
 2013 343    78    64     2    18.3   14.5    3.8    2.19    2.48    2.53    0.26    0.42    0.59    1.07    0.74    0.64    0.07    0.07    0.07   72.53  109.32    0.00   10.07    0.00   62.45  115.73    0.00    0.00
 2013 344    79    64     2    18.4   14.8    3.7    0.54    2.56    3.13    0.27    0.42    0.60    1.04    0.71    0.61    0.06    0.07    0.07   72.71  109.62    0.00   10.09    0.00   62.62  115.73    0.00    0.00
 2013 345    80    64     2    19.2   15.3    3.9    0.79    2.23    3.48    0.28    0.43    0.61    1.10    0.87    0.63    0.06    0.07    0.07   73.57  110.11    0.00   10.18    0.00   63.40  115.73    0.00    0.00
 2013 346    81    64     2    20.2   15.8    4.3    0.95    2.29    3.62    0.28    0.44    0.61    1.18    0.97    0.72    0.06    0.06    0.07   74.65  110.68    0.00   10.29    0.00   64.36  115.73    0.00    0.00
 2013 347    82    64     2    21.2   16.5    4.7    1.21    2.37    3.75    0.29    0.44    0.62    1.24    1.09    0.79    0.06    0.06    0.07   75.77  111.32    0.00   10.41    0.00   65.36  115.73    0.00    0.00
 2013 348    83    64     2    22.1   17.1    5.0    1.28    2.54    3.91    0.29    0.45    0.62    1.31    1.16    0.85    0.06    0.06    0.07   76.83  112.00    0.00   10.52    0.00   66.31  115.73    0.00    0.00
 2013 349    84    64     2    23.0   17.8    5.2    1.55    2.68    4.05    0.30    0.45    0.63    1.34    1.24    0.90    0.06    0.06    0.07   77.90  112.72    0.00   10.64    0.00   67.26  115.73    0.00    0.00
 2013 350    85    64     2    23.9   18.6    5.4    2.00    2.90    4.07    0.31    0.46    0.63    1.39    1.28    0.94    0.06    0.06    0.07   78.90  113.45    0.00   10.75    0.00   68.15  115.73    0.00    0.00
 2013 351    86    64     2    24.7   19.2    5.4    1.25    2.72    4.74    0.31    0.46    0.64    1.41    1.29    0.96    0.06    0.06    0.07   79.74  114.13    0.00   10.84    0.00   68.90  115.73    0.00    0.00
 2013 352    87    64     2    25.7   20.1    5.6    1.40    2.50    4.74    0.61    0.47    0.64    1.39    1.33    1.02    0.06    0.06    0.07   80.88  114.96    0.00   10.97    0.00   69.90  115.73    0.00    0.00
 2013 353    88    64     2    26.7   20.9    5.8    1.70    2.70    4.90    0.62    0.47    0.65    1.41    1.37    1.10    0.06    0.06    0.07   82.10  115.82    0.00   11.12    0.00   70.99  115.73    0.00    0.00
 2013 354    89    64     2    27.7   21.8    6.0    2.16    2.94    4.97    0.62    0.48    0.66    1.43    1.39    1.15    0.06    0.06    0.07   83.25  116.69    0.00   11.26    0.00   72.00  115.73    0.00    0.00
 2013 355    90    64     2    28.6   22.6    6.0    2.68    3.17    5.02    0.62    0.48    0.66    1.44    1.38    1.17    0.06    0.06    0.06   84.22  117.50    0.00   11.37    0.00   72.85  115.73    0.00    0.00
 2013 356    91    64     2    29.3   23.3    6.0    2.90    3.33    5.15    0.63    0.49    0.67    1.43    1.36    1.17    0.06    0.06    0.06   85.03  118.24    0.00   11.47    0.00   73.56  115.73    0.00    0.00
 2013 357    92    64     2    29.9   24.0    5.9    3.10    3.48    5.28    0.63    0.50    0.67    1.42    1.33    1.16    0.06    0.06    0.06   85.70  118.92    0.00   11.55    0.00   74.15  115.73    0.00    0.00
 2013 358    93    64     2    30.3   24.6    5.7    3.28    3.60    5.39    0.64    0.50    0.68    1.39    1.28    1.13    0.06    0.06    0.06   86.20  119.52    0.00   11.61    0.00   74.59  115.73    0.00    0.00
 2013 359    94    64     2    30.6   25.1    5.5    2.62    4.11    5.48    0.65    0.51    0.69    1.35    1.21    1.07    0.06    0.06    0.06   86.52  120.03    0.00   11.65    0.00   74.87  115.73    0.00    0.00
 2013 360    95    64     2    31.0   25.7    5.3    2.81    4.27    5.56    0.65    0.51    0.69    1.37    1.16    1.02    0.06    0.06    0.06   86.98  120.62    0.00   11.70    0.00   75.28  115.73    0.00    0.00
 2013 361    96    64     2    31.3   26.2    5.1    3.65    4.44    5.40    0.65    0.52    0.70    1.35    1.11    0.96    0.06    0.06    0.06   87.31  121.13    0.00   11.73    0.00   75.57  115.73    0.00    0.00
 2013 362    97    64     2    31.5   26.6    4.9    3.82    4.52    5.47    0.66    0.52    0.70    1.31    1.05    0.90    0.06    0.06    0.06   87.54  121.57    0.00   11.76    0.00   75.78  115.73    0.00    0.00
 2013 363    98    64     2    31.7   27.0    4.6    3.98    4.59    5.53    0.66    0.53    0.71    1.27    0.99    0.85    0.06    0.06    0.06   87.73  121.96    0.00   11.78    0.00   75.95  115.73    0.00    0.00
 2013 364    99    64     2    31.8   27.4    4.4    4.12    4.65    5.58    0.67    0.54    0.72    1.24    0.93    0.79    0.06    0.06    0.06   87.88  122.32    0.00   11.79    0.00   76.09  115.73    0.00    0.00
 2013 365   100    64     2    31.9   27.7    4.2    4.27    4.70    5.63    0.68    0.54    0.72    1.21    0.87    0.75    0.06    0.06    0.06   88.03  122.66    0.00   11.81    0.00   76.22  115.73    0.00    0.00
 2014 001   101    64     2    32.1   28.0    4.0    4.41    4.75    5.67    0.68    0.55    0.73    1.19    0.82    0.70    0.06    0.06    0.06   88.18  122.97    0.00   11.82    0.00   76.36  115.73    0.00    0.00
 2014 002   102    64     2    32.2   28.3    3.9    4.55    4.78    5.70    0.69    0.55    0.74    1.17    0.78    0.67    0.06    0.06    0.06   88.31  123.26    0.00   11.83    0.00   76.48  115.73    0.00    0.00
 2014 003   103    64     2    32.3   28.6    3.7    4.69    4.82    5.74    0.69    0.56    0.74    1.14    0.73    0.63    0.06    0.06    0.06   88.44  123.52    0.00   11.84    0.00   76.60  115.73    0.00    0.00
 2014 004   104    64     2    32.4   28.8    3.6    4.81    4.85    5.77    0.70    0.56    0.75    1.12    0.70    0.60    0.06    0.06    0.06   88.56  123.77    0.00   11.85    0.00   76.70  115.73    0.00    0.00
 2014 005   105    64     2    32.5   29.1    3.4    4.93    4.87    5.80    0.70    0.57    0.76    1.09    0.66    0.57    0.06    0.06    0.06   88.67  124.01    0.00   11.86    0.00   76.81  115.73    0.00    0.00
 2014 006   106    64     2    32.6   29.3    3.3    5.04    4.90    5.83    0.71    0.57    0.76    1.06    0.62    0.54    0.06    0.06    0.06   88.78  124.26    0.00   11.87    0.00   76.91  115.73    0.00    0.00
 2014 007   107    64     2    32.7   29.5    3.2    5.16    4.93    5.86    0.72    0.58    0.77    1.02    0.59    0.51    0.06    0.05    0.06   88.89  124.50    0.00   11.88    0.00   77.01  115.73    0.00    0.00
 2014 008   108    64     2    32.8   29.8    3.0    5.27    4.96    5.89    0.72    0.58    0.77    0.98    0.55    0.48    0.06    0.05    0.06   89.00  124.74    0.00   11.89    0.00   77.11  115.73    0.00    0.00
 2014 009   109    64     2    32.9   30.0    2.9    5.39    4.98    5.91    0.73    0.59    0.78    0.95    0.52    0.45    0.06    0.05    0.06   89.12  124.98    0.00   11.90    0.00   77.21  115.73    0.00    0.00
 2014 010   110    64     2    33.0   30.2    2.8    5.50    5.00    5.94    0.73    0.60    0.79    0.92    0.49    0.43    0.06    0.05    0.06   89.22  125.19    0.00   11.91    0.00   77.31  115.73    0.00    0.00
 2014 011   111    64     2    33.1   30.4    2.7    5.60    5.02    5.96    0.74    0.60    0.79    0.89    0.47    0.41    0.06    0.05    0.06   89.32  125.38    0.00   11.92    0.00   77.40  115.73    0.00    0.00
 2014 012   112    64     2    33.2   30.6    2.6    5.70    5.03    5.98    0.75    0.61    0.80    0.86    0.44    0.39    0.06    0.05    0.06   89.41  125.56    0.00   11.93    0.00   77.48  115.73    0.00    0.00
 2014 013   113    64     2    33.3   30.8    2.5    5.79    5.05    5.99    0.75    0.61    0.80    0.83    0.42    0.37    0.06    0.05    0.06   89.51  125.73    0.00   11.94    0.00   77.57  115.73    0.00    0.00
 2014 014   114    64     2    33.3   30.9    2.4    5.88    5.06    6.01    0.76    0.62    0.81    0.81    0.40    0.35    0.06    0.05    0.06   89.60  125.90    0.00   11.95    0.00   77.65  115.73    0.00    0.00
 2014 015   115    64     2    33.4   31.1    2.3    1.16    6.96    6.37    0.76    0.62    0.82    0.79    0.39    0.34    0.06    0.05    0.06   89.69  126.06    0.00   11.96    0.00   77.74  115.73    0.00    0.00
 2014 016   116    64     2    34.0   31.4    2.6    1.78    6.42    6.66    0.76    0.62    0.82    0.86    0.55    0.32    0.05    0.05    0.06   90.32  126.37    0.00   12.03    0.00   78.29  115.73    0.00    0.00
 2014 017   117    64     2    34.6   31.7    2.8    3.10    6.63    6.26    0.75    0.62    0.82    0.96    0.68    0.33    0.05    0.05    0.06   91.03  126.72    0.00   12.12    0.00   78.92  115.73    0.00    0.00
 2014 018   118    64     2    35.1   32.1    3.0    4.66    6.72    5.86    0.74    0.62    0.82    1.01    0.76    0.34    0.05    0.05    0.06   91.63  127.09    0.00   12.19    0.00   79.44  115.73    0.00    0.00
 2014 019   119    64     2    35.5   32.4    3.1    4.87    6.80    5.88    0.75    0.63    0.82    1.03    0.80    0.35    0.05    0.05    0.05   92.11  127.43    0.00   12.25    0.00   79.86  115.73    0.00    0.00
 2014 020   120    64     2    35.9   32.8    3.1    5.07    6.86    5.90    0.75    0.63    0.83    1.03    0.80    0.35    0.05    0.05    0.05   92.49  127.76    0.00   12.30    0.00   80.20  115.73    0.00    0.00
