*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2013 183    28    52     2    87.8   80.4    7.4   14.01   16.62   12.81    3.45    0.57    0.58    3.03    1.37    1.46    0.02    0.01    0.01   39.87   81.59    0.00   13.01    0.00   26.86    1.17    0.00    0.00
 2013 184    29    52     2    88.4   80.6    7.8    8.27   11.47   12.41    6.03    0.91    0.58    3.09    1.49    1.54    0.03    0.01    0.01   41.36   82.05    0.00   13.60    0.00   27.76    1.42    0.00    0.00
 2013 185    30    52     2    89.1   80.8    8.3    6.92   10.01   11.95    6.57    1.37    0.57    3.16    1.62    1.63    0.04    0.01    0.01   42.89   82.51    0.00   14.17    0.00   28.72    1.71    0.00    0.00
 2013 186    31    52     2    89.8   81.1    8.7    7.74    9.71   11.43    6.58    1.63    0.57    3.23    1.75    1.71    0.06    0.01    0.01   44.41   82.99    0.00   14.72    0.00   29.69    1.98    0.00    0.00
 2013 187    32    52     2    90.6   81.4    9.2    8.84    9.52   11.06    6.52    1.84    0.57    3.29    1.87    1.79    0.07    0.02    0.01   45.99   83.53    0.00   15.28    0.00   30.71    2.24    0.00    0.00
 2013 188    33    52     2    91.3   82.5    8.8   10.53    9.75   11.04    6.44    1.83    0.57    3.03    1.81    1.71    0.08    0.02    0.01   47.70   84.98    0.00   15.88    0.00   31.83    2.62    0.00    0.00
 2013 189    34    52     2    92.2   83.7    8.5   12.29    9.91   11.05    6.38    1.82    0.57    2.81    1.76    1.63    0.08    0.03    0.01   49.34   86.37    0.00   16.44    0.00   32.90    2.82    0.00    0.00
 2013 190    35    52     2    92.8   84.7    8.1   10.32   10.83   11.50    6.41    1.83    0.57    2.57    1.70    1.57    0.08    0.03    0.01   50.98   87.78    0.00   17.02    0.00   33.97    3.22    0.00    0.00
 2013 191    36    52     2    93.3   84.7    8.6   10.51   10.63   11.48    6.44    1.84    0.57    2.66    1.82    1.66    0.09    0.03    0.01   52.75   88.41    0.00   17.63    0.00   35.11    3.91    0.00    0.00
 2013 192    37    52     2    93.8   85.7    8.2   12.33   10.82   11.39    6.34    1.84    0.57    2.46    1.75    1.57    0.09    0.04    0.01   54.50   89.89    0.00   18.25    0.00   36.25    4.52    0.00    0.00
 2013 193    38    52     2    94.6   86.7    7.9   12.85   11.02   11.59    6.33    1.84    0.57    2.30    1.69    1.51    0.09    0.04    0.01   56.26   91.32    0.00   18.86    0.00   37.40    4.92    0.00    0.00
 2013 194    39    52     2    95.0   87.5    7.5   13.32   11.17   11.74    6.30    1.85    0.58    2.11    1.63    1.44    0.10    0.04    0.01   57.98   92.73    0.00   19.46    0.00   38.51    5.60    0.00    0.00
 2013 195    40    52     2    95.6   88.4    7.2   13.78   11.33   11.91    6.28    1.86    0.58    1.93    1.58    1.39    0.10    0.04    0.01   59.62   94.06    0.00   20.05    0.00   39.57    6.09    0.00    0.00
 2013 196    41    52     2    95.8   88.9    6.9   14.20   11.45   12.02    6.24    1.86    0.58    1.74    1.52    1.34    0.10    0.04    0.01   61.22   95.36    0.00   20.62    0.00   40.60    6.85    0.00    0.00
 2013 197    42    52     2    96.1   89.5    6.6   14.65   11.56   12.13    6.20    1.87    0.58    1.55    1.47    1.29    0.10    0.05    0.01   62.78   96.63    0.00   21.18    0.00   41.60    7.61    0.00    0.00
 2013 198    43    52     2    96.5   90.2    6.3   15.12   11.68   12.26    6.17    1.87    0.58    1.38    1.41    1.25    0.11    0.05    0.01   64.28   97.84    0.00   21.72    0.00   42.56    8.15    0.00    0.00
 2013 199    44    52     2    96.8   90.7    6.1   15.55   11.78   12.36    6.14    1.88    0.58    1.22    1.37    1.21    0.11    0.05    0.01   65.71   98.98    0.00   22.24    0.00   43.47    8.78    0.00    0.00
 2013 200    45    52     2    96.9   91.0    5.8   15.94   11.84   12.43    6.09    1.88    0.58    1.07    1.32    1.18    0.11    0.05    0.01   67.07  100.05    0.00   22.74    0.00   44.33    9.55    0.00    0.00
 2013 201    46    52     2    96.7   91.0    5.7   13.10   13.40   12.46    6.03    1.88    0.58    1.03    1.27    1.14    0.11    0.05    0.01   68.47  101.08    0.00   23.24    0.00   45.24   10.60    0.00    0.00
 2013 202    47    52     2    96.7   91.0    5.8   13.06   13.46   12.49    5.98    1.88    0.58    1.24    1.28    1.11    0.11    0.05    0.01   70.08  101.99    0.00   23.80    0.00   46.28   11.62    0.00    0.00
 2013 203    48    52     2    97.0   91.3    5.8   14.28   13.42   12.40    5.91    1.88    0.58    1.31    1.28    1.08    0.11    0.05    0.01   71.64  103.00    0.00   24.34    0.00   47.31   12.34    0.00    0.00
 2013 204    49    52     2    97.2   91.5    5.7   14.57   13.44   12.45    5.87    1.88    0.59    1.32    1.27    1.05    0.11    0.05    0.01   73.13  104.00    0.00   24.85    0.00   48.28   13.19    0.00    0.00
 2013 205    50    86     3   130.9   91.3   39.6   14.80   13.41   12.44    5.81    1.87    0.59   49.17    1.25    1.02    0.11    0.05    0.01   74.57  105.01    0.00   25.35    0.00   49.21   14.43    0.00    0.00
 2013 206    51    86     3   130.2   97.3   33.0   23.55   13.41   12.46    5.76    1.87    0.59   39.98    1.23    0.99    0.11    0.05    0.01   75.92  112.03    0.00   25.92    0.00   50.01   15.82    0.00    0.00
 2013 207    52    86     3   130.1  102.3   27.7   30.70   13.43   12.49    5.72    1.87    0.59   32.78    1.20    0.96    0.11    0.05    0.01   77.20  117.86    0.00   26.43    0.00   50.77   16.76    0.00    0.00
 2013 208    53    86     3   129.6  106.2   23.5   36.77   13.37   12.46    5.66    1.86    0.59   26.94    1.16    0.93    0.11    0.05    0.01   78.43  122.83    0.00   26.92    0.00   51.51   17.90    0.00    0.00
 2013 209    54    86     3   129.1  109.3   19.9   41.87   13.30   12.42    5.59    1.85    0.59   22.06    1.12    0.90    0.11    0.05    0.01   79.60  127.10    0.00   27.38    0.00   52.22   19.11    0.00    0.00
 2013 210    55    86     3   128.4  111.5   16.9   46.08   13.20   12.33    5.50    1.83    0.59   18.06    1.08    0.87    0.11    0.05    0.01   80.71  130.72    0.00   27.81    0.00   52.91   20.50    0.00    0.00
 2013 211    56    86     3   128.1  113.6   14.6   49.44   13.15   12.31    5.45    1.83    0.59   14.91    1.04    0.84    0.11    0.05    0.01   81.74  133.69    0.00   28.19    0.00   53.55   21.44    0.00    0.00
 2013 212    57    86     3   126.7  114.1   12.6   52.25   12.92   12.12    5.33    1.80    0.59   12.31    0.99    0.81    0.11    0.05    0.01   82.71  136.25    0.00   28.54    0.00   54.16   23.44    0.00    0.00
 2013 213    58    86     3   126.1  115.1   11.0   54.59   12.81   12.03    5.26    1.78    0.59   10.17    0.95    0.79    0.11    0.05    0.01   83.62  138.44    0.00   28.87    0.00   54.75   24.71    0.00    0.00
 2013 214    59    86     3   125.0  115.4    9.6   56.53   12.63   11.89    5.16    1.76    0.60    8.41    0.91    0.77    0.11    0.05    0.01   84.49  140.34    0.00   29.17    0.00   55.32   26.29    0.00    0.00
 2013 215    60    86     3   124.0  115.5    8.5   58.15   12.45   11.75    5.07    1.74    0.60    6.98    0.87    0.75    0.11    0.05    0.01   85.31  141.98    0.00   29.45    0.00   55.86   27.85    0.00    0.00
 2013 216    61    86     3   122.4  114.9    7.6   59.48   12.16   11.51    4.93    1.71    0.60    5.83    0.83    0.72    0.11    0.05    0.01   86.12  143.41    0.00   29.72    0.00   56.40   30.00    0.00    0.00
 2013 217    62    86     3   121.0  114.2    6.8   60.58   11.91   11.30    4.81    1.68    0.60    4.92    0.79    0.70    0.11    0.05    0.01   86.90  144.67    0.00   29.98    0.00   56.91   31.93    0.00    0.00
 2013 218    63    86     3   119.9  113.7    6.2   61.48   11.71   11.14    4.72    1.65    0.60    4.19    0.75    0.68    0.10    0.05    0.01   87.64  145.76    0.00   30.22    0.00   57.41   33.54    0.00    0.00
 2013 219    64    86     3   118.1  112.5    5.6   62.24   11.40   10.87    4.58    1.62    0.60    3.60    0.72    0.66    0.10    0.05    0.01   88.35  146.75    0.00   30.45    0.00   57.89   35.77    0.00    0.00
 2013 220    65    86     3   117.2  112.0    5.2   62.90   11.22   10.74    4.49    1.60    0.60    3.11    0.68    0.64    0.10    0.05    0.01   89.03  147.65    0.00   30.67    0.00   58.36   37.18    0.00    0.00
 2013 221    66    86     3   114.5  109.8    4.7   63.61   10.75   10.32    4.29    1.54    0.60    2.57    0.64    0.61    0.10    0.05    0.01   89.70  148.58    0.00   30.90    0.00   58.80   40.28    0.00    0.00
 2013 222    67    86     3   112.3  108.1    4.2   53.62   15.22   10.12    4.19    1.51    0.60    2.12    0.61    0.59    0.09    0.05    0.01   90.42  149.41    0.00   31.19    0.00   59.23   42.90    0.00    0.00
 2013 223    68    86     3   110.0  105.9    4.2   51.38   15.42    9.94    4.09    1.49    0.60    2.07    0.61    0.57    0.09    0.05    0.01   91.32  149.99    0.00   31.55    0.00   59.77   45.73    0.00    0.00
 2013 224    69    86     3   107.1  103.2    3.9   45.30   17.59    9.62    3.95    1.45    0.60    1.82    0.61    0.54    0.08    0.05    0.01   92.19  150.72    0.00   31.90    0.00   60.29   49.15    0.00    0.00
 2013 225    70    86     3   104.6  100.7    3.9   43.73   17.47    9.36    3.83    1.42    0.60    1.84    0.62    0.52    0.08    0.05    0.01   93.10  151.27    0.00   32.25    0.00   60.85   52.23    0.00    0.00
 2013 226    71    86     3   101.9   98.2    3.7   43.41   16.75    9.09    3.70    1.38    0.61    1.68    0.62    0.50    0.08    0.05    0.01   93.97  151.95    0.00   32.58    0.00   61.39   55.46    0.00    0.00
 2013 227    72    86     3    99.6   96.0    3.5   42.49   16.28    8.94    3.60    1.36    0.61    1.53    0.61    0.48    0.07    0.05    0.01   94.76  152.59    0.00   32.87    0.00   61.89   58.33    0.00    0.00
 2013 228    73    86     3    97.4   94.0    3.3   41.63   15.86    8.80    3.51    1.33    0.61    1.39    0.59    0.46    0.07    0.05    0.01   95.48  153.21    0.00   33.12    0.00   62.35   60.97    0.00    0.00
 2013 229    74    86     3    94.4   91.3    3.1   40.56   15.25    8.61    3.38    1.30    0.61    1.24    0.56    0.44    0.07    0.05    0.01   96.10  153.81    0.00   33.34    0.00   62.77   64.33    0.00    0.00
 2013 230    75    86     3    91.8   88.9    2.9   40.20   14.66    8.39    3.23    1.25    0.61    1.11    0.52    0.41    0.07    0.05    0.01   96.63  154.37    0.00   33.51    0.00   63.12   67.27    0.00    0.00
 2013 231    76    86     3    90.2   87.5    2.7   40.58   14.21    8.22    3.11    1.21    0.61    1.00    0.47    0.38    0.06    0.05    0.01   97.09  154.90    0.00   33.65    0.00   63.43   69.22    0.00    0.00
 2013 232    77    86     3    88.1   85.5    2.5   39.38   13.92    8.12    3.02    1.18    0.61    0.98    0.43    0.35    0.06    0.05    0.01   97.61  155.39    0.00   33.83    0.00   63.78   71.70    0.00    0.00
 2013 233    78    86     3    87.1   84.7    2.4   38.82   13.80    8.09    2.98    1.17    0.61    0.94    0.39    0.33    0.06    0.05    0.01   98.06  155.84    0.00   33.98    0.00   64.08   73.00    0.00    0.00
 2013 234    79    86     3    84.2   82.0    2.2   26.97   18.48    7.96    2.87    1.13    0.61    0.93    0.35    0.30    0.05    0.05    0.01   98.50  156.26    0.00   34.12    0.00   64.37   76.17    0.00    0.00
 2013 235    80    86     3    84.0   81.6    2.3   26.99   18.27    7.97    2.85    1.13    0.61    1.00    0.41    0.28    0.05    0.05    0.01   99.19  156.64    0.00   34.36    0.00   64.83   76.87    0.00    0.00
 2013 236    81    86     3    82.1   79.8    2.3   25.91   17.86    7.91    2.79    1.10    0.62    1.01    0.44    0.25    0.05    0.05    0.01   99.76  157.02    0.00   34.54    0.00   65.21   79.08    0.00    0.00
 2013 237    82    86     3    79.8   77.5    2.3   12.82   19.68   10.18    2.72    1.07    0.62    1.04    0.44    0.24    0.04    0.05    0.01  100.29  157.39    0.00   34.71    0.00   65.57   81.80    0.00    0.00
 2013 238    83    86     3    78.3   75.7    2.6   12.10   18.46   10.49    2.67    1.05    0.62    1.11    0.58    0.28    0.04    0.05    0.01  101.27  157.69    0.00   35.05    0.00   66.21   83.94    0.00    0.00
 2013 239    84    86     3    77.5   74.6    2.9   12.58   17.98   10.23    2.64    1.04    0.62    1.20    0.68    0.33    0.04    0.05    0.01  102.36  158.08    0.00   35.43    0.00   66.93   85.43    0.00    0.00
 2013 240    85    86     3    76.5   73.4    3.1   12.57   17.61   10.03    2.60    1.03    0.62    1.25    0.75    0.37    0.04    0.05    0.01  103.34  158.50    0.00   35.76    0.00   67.58   87.03    0.00    0.00
 2013 241    86    86     3    75.7   72.4    3.3    8.57   17.61   10.98    2.58    1.02    0.62    1.26    0.79    0.40    0.04    0.05    0.01  104.23  158.94    0.00   36.06    0.00   68.17   88.46    0.00    0.00
 2013 242    87    86     3    73.8   70.2    3.6    8.04   16.71   10.89    2.52    1.00    0.62    1.32    0.91    0.46    0.04    0.05    0.01  105.31  159.30    0.00   36.43    0.00   68.88   91.05    0.00    0.00
 2013 243    88    86     3    73.7   69.8    3.9    6.74   16.07   11.60    2.50    0.99    0.62    1.47    0.96    0.51    0.04    0.04    0.01  106.39  159.72    0.00   36.79    0.00   69.59   91.90    0.00    0.00
 2013 244    89    86     3    72.6   68.4    4.2    6.21   15.09   11.87    2.46    0.98    0.62    1.60    1.07    0.56    0.04    0.04    0.01  107.53  160.05    0.00   37.19    0.00   70.34   93.70    0.00    0.00
 2013 245    90    86     3    71.2   66.6    4.6    5.12   13.70   12.48    2.41    0.95    0.62    1.72    1.18    0.61    0.03    0.04    0.01  108.72  160.43    0.00   37.60    0.00   71.12   95.91    0.00    0.00
 2013 246    91    86     3    71.5   66.6    5.0    3.79   11.60   13.35    2.87    0.95    0.62    1.86    1.30    0.68    0.03    0.04    0.01  109.98  160.83    0.00   38.04    0.00   71.94   96.39    0.00    0.00
 2013 247    92    86     3    70.9   65.4    5.5    2.88    9.62   13.12    3.54    0.94    0.62    2.00    1.41    0.81    0.03    0.04    0.01  111.39  161.14    0.01   38.55    0.00   72.85   97.90    0.00    0.00
 2013 248    93    86     3    70.8   64.8    6.1    2.37    8.22   12.65    4.19    0.94    0.62    2.16    1.53    0.92    0.04    0.04    0.01  112.80  161.48    0.06   39.02    0.00   73.77   98.86    0.00    0.00
 2013 249    94    86     3    71.4   64.8    6.6    2.34    7.80   12.20    4.56    0.94    0.62    2.32    1.66    1.03    0.05    0.04    0.01  114.13  161.80    0.12   39.46    0.00   74.67   99.10    0.00    0.00
 2013 250    95    86     3    71.7   64.6    7.1    2.47    7.53   11.76    4.80    0.94    0.62    2.46    1.77    1.14    0.05    0.04    0.01  115.53  162.19    0.16   39.92    0.00   75.61   99.69    0.00    0.00
 2013 251    96    86     3    70.9   63.9    7.0    2.41    7.19   11.56    4.87    0.93    0.62    2.37    1.72    1.15    0.06    0.04    0.01  117.04  163.18    0.16   40.40    0.00   76.64  101.52    0.00    0.00
 2013 252    97    86     3    70.1   62.7    7.5    2.10    6.42   11.14    5.11    0.92    0.62    2.47    1.80    1.25    0.07    0.04    0.01  118.49  163.61    0.16   40.87    0.00   77.62  103.32    0.00    0.00
 2013 253    98    86     3    68.8   61.0    7.8    1.90    5.85   10.52    5.26    0.90    0.63    2.55    1.88    1.33    0.07    0.04    0.01  119.87  164.02    0.16   41.30    0.00   78.56  105.61    0.00    0.00
 2013 254    99    86     3    68.9   60.7    8.3    1.45    4.80    9.76    6.00    0.90    0.63    2.66    1.97    1.43    0.08    0.04    0.01  121.25  164.47    0.16   41.73    0.00   79.53  106.42    0.00    0.00
 2013 255   100    86     3    69.6   60.8    8.8    1.39    4.43    9.29    6.26    1.04    0.63    2.80    2.09    1.53    0.08    0.04    0.01  122.67  164.93    0.16   42.14    0.00   80.53  106.73    0.00    0.00
 2013 256   101    86     3    70.6   61.3    9.3    1.51    4.32    8.98    6.42    1.15    0.63    2.94    2.21    1.65    0.09    0.04    0.01  124.18  165.46    0.26   42.58    0.00   81.60  106.73    0.00    0.00
 2013 257   102    86     3    71.6   61.8    9.8    1.72    4.30    8.74    6.48    1.30    0.63    3.07    2.32    1.75    0.10    0.04    0.01  125.71  166.04    0.33   43.02    0.00   82.69  106.73    0.00    0.00
 2013 258   103    86     3    72.8   63.3    9.5    1.86    4.44    8.91    6.67    1.31    0.63    2.93    2.24    1.70    0.10    0.05    0.01  127.35  167.53    0.33   43.48    0.00   83.87  106.73    0.00    0.00
 2013 259   104    86     3    73.9   63.9   10.0    2.08    4.44    8.88    6.79    1.31    0.63    3.06    2.35    1.80    0.10    0.05    0.01  128.92  168.15    0.33   43.94    0.00   84.99  106.73    0.00    0.00
 2013 260   105    86     3    75.0   64.6   10.5    2.34    4.54    8.90    6.86    1.32    0.63    3.17    2.45    1.90    0.10    0.05    0.01  130.51  168.84    0.33   44.39    0.00   86.12  106.73    0.00    0.00
 2013 261   106    86     3    76.1   66.1   10.0    2.88    4.96    9.16    6.85    1.32    0.63    3.00    2.33    1.83    0.10    0.06    0.01  132.05  170.36    0.33   44.84    0.00   87.22  106.73    0.00    0.00
 2013 262   107    86     3    77.2   67.4    9.8    2.67    5.29    9.51    6.90    1.33    0.63    3.10    2.22    1.75    0.11    0.06    0.01  133.58  171.70    0.33   45.28    0.00   88.30  106.73    0.00    0.00
 2013 263   108    86     3    78.3   68.4    9.9    2.83    5.35    9.77    6.96    1.34    0.63    3.20    2.32    1.69    0.10    0.06    0.01  135.12  172.69    0.33   45.74    0.00   89.38  106.73    0.00    0.00
 2013 264   109    86     3    79.4   69.4   10.0    3.16    5.48   10.02    6.96    1.35    0.63    3.29    2.41    1.63    0.10    0.06    0.01  136.69  173.71    0.33   46.21    0.00   90.48  106.73    0.00    0.00
 2013 265   110    86     3    80.5   71.0    9.5    3.93    5.90   10.23    6.95    1.35    0.63    3.06    2.27    1.58    0.10    0.06    0.01  138.27  175.30    0.33   46.68    0.00   91.59  106.73    0.00    0.00
 2013 266   111    86     3    81.5   72.6    9.0    4.48    6.26   10.48    6.97    1.36    0.63    2.82    2.13    1.52    0.10    0.06    0.01  139.78  176.85    0.33   47.14    0.00   92.64  106.73    0.00    0.00
 2013 267   112    86     3    82.5   74.0    8.5    5.01    6.58   10.72    6.98    1.37    0.63    2.58    2.00    1.46    0.10    0.06    0.01  141.17  178.30    0.33   47.57    0.00   93.60  106.73    0.00    0.00
 2013 268   113    86     3    83.4   75.4    8.0    5.50    6.88   10.94    7.00    1.38    0.63    2.35    1.88    1.39    0.09    0.06    0.01  142.45  179.66    0.33   47.97    0.00   94.48  106.73    0.00    0.00
 2013 269   114    86     3    84.2   76.7    7.5    5.98    7.16   11.15    7.01    1.39    0.63    2.12    1.76    1.33    0.09    0.06    0.01  143.63  180.96    0.33   48.35    0.00   95.28  106.73    0.00    0.00
 2013 270   115    86     3    85.0   77.9    7.1    6.42    7.42   11.36    7.02    1.40    0.63    1.98    1.64    1.26    0.09    0.06    0.01  144.78  182.19    0.33   48.71    0.00   96.07  106.73    0.00    0.00
 2013 271   116    86     3    85.7   79.0    6.6    6.84    7.66   11.55    7.04    1.42    0.64    1.82    1.52    1.18    0.08    0.06    0.01  145.80  183.34    0.33   49.03    0.00   96.77  106.73    0.00    0.00
 2013 272   117    86     3    86.3   80.1    6.1    7.25    7.88   11.73    7.05    1.43    0.64    1.66    1.40    1.10    0.08    0.06    0.01  146.70  184.43    0.33   49.31    0.00   97.39  106.73    0.00    0.00
 2013 273   118    86     3    86.8   81.2    5.6    6.66    8.59   11.91    7.06    1.44    0.64    1.49    1.28    1.01    0.07    0.06    0.01  147.52  185.50    0.33   49.57    0.00   97.95  106.73    0.00    0.00
 2013 274   119    86     3    86.5   81.1    5.4    6.64    8.74   11.92    6.98    1.43    0.64    1.66    1.19    0.92    0.07    0.06    0.01  148.49  186.38    0.33   49.86    0.00   98.63  107.78    0.00    0.00
 2013 275   120    86     3    86.1   81.0    5.1    6.83    8.98   11.87    6.88    1.42    0.64    1.64    1.11    0.84    0.07    0.06    0.01  149.41  187.28    0.33   50.13    0.00   99.28  108.82    0.00    0.00
