*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2015 236    62     0     1    25.9   18.4    7.6    1.84    2.27    3.34    1.83    1.45    1.81    1.69    1.72    0.08    0.07  114.66   86.41    0.12   14.55    0.00  100.11   78.49   47.46    0.00
 2015 237    63     0     1    27.3   19.9    7.4    2.24    2.62    3.69    1.85    1.46    1.75    1.66    1.68    0.08    0.07  116.21   87.98    0.12   14.71    0.00  101.50   78.49   47.46    0.00
 2015 238    64     0     1    25.6   18.4    7.1    0.70    1.34    2.61    3.17    1.86    1.67    1.61    1.63    0.08    0.07  117.68   89.53    0.12   14.86    0.00  102.82   78.49   50.53    0.00
 2015 239    65     0     1    24.9   17.4    7.5    0.82    1.37    2.43    2.75    1.93    1.75    1.67    1.70    0.08    0.07  118.97   90.40    0.12   14.98    0.00  103.99   78.49   52.38    0.00
 2015 240    66     0     1    25.9   18.4    7.5    1.09    1.63    2.65    2.69    1.97    1.76    1.68    1.72    0.08    0.07  120.49   91.72    0.12   15.13    0.00  105.36   78.49   52.73    0.00
 2015 241    67     0     1    25.4   17.8    7.5    0.61    1.14    2.28    2.71    2.54    1.77    1.68    1.72    0.08    0.07  121.98   93.05    0.12   15.27    0.00  106.71   78.49   54.61    0.00
 2015 242    68     0     1    25.3   17.5    7.7    0.78    1.23    2.25    2.53    2.48    1.82    1.73    1.77    0.08    0.07  123.19   93.94    0.12   15.39    0.00  107.81   78.49   55.81    0.00
 2015 243    69     0     1    25.6   17.9    7.8    1.04    1.46    2.39    2.40    2.39    1.82    1.73    1.78    0.08    0.08  124.55   95.13    0.15   15.51    0.00  109.04   78.49   56.63    0.00
 2015 244    70     0     1    26.2   18.5    7.7    0.87    1.57    2.63    2.46    2.40    1.81    1.72    1.76    0.08    0.08  126.05   96.54    0.17   15.66    0.00  110.39   78.49   57.34    0.00
 2015 245    71     0     1    26.0   18.2    7.8    1.01    1.59    2.63    2.35    2.30    1.86    1.75    1.77    0.08    0.08  127.34   97.61    0.20   15.79    0.00  111.55   78.49   58.71    0.00
 2015 246    72     0     1    26.8   19.1    7.7    0.82    1.52    2.82    2.56    2.44    1.83    1.73    1.74    0.08    0.07  128.80   99.05    0.21   15.93    0.00  112.87   78.49   59.22    0.00
 2015 247    73     0     1    27.3   19.5    7.8    0.93    1.58    2.85    2.59    2.51    1.86    1.76    1.75    0.08    0.07  130.09  100.12    0.23   16.06    0.00  114.03   78.49   59.84    0.00
 2015 248    74     0     1    27.6   19.9    7.7    0.75    1.48    2.87    2.72    2.64    1.87    1.75    1.74    0.08    0.07  131.46  101.38    0.25   16.20    0.00  115.26   78.49   60.74    0.00
 2015 249    75     0     1    27.9   20.1    7.8    0.97    1.57    2.87    2.67    2.66    1.89    1.77    1.75    0.08    0.07  132.73  102.45    0.28   16.33    0.00  116.40   78.49   61.57    0.00
 2015 250    76     0     1    28.2   20.5    7.7    0.84    1.55    2.93    2.77    2.74    1.85    1.75    1.74    0.08    0.07  134.17  103.84    0.30   16.48    0.00  117.69   78.49   62.56    0.00
 2015 251    77     0     1    28.5   20.8    7.7    1.07    1.66    2.97    2.73    2.73    1.86    1.76    1.73    0.08    0.07  135.51  105.03    0.35   16.61    0.00  118.90   78.49   63.40    0.00
 2015 252    78     0     1    29.2   21.6    7.6    1.41    1.92    3.16    2.68    2.69    1.85    1.73    1.71    0.08    0.07  136.97  106.45    0.38   16.76    0.00  120.20   78.49   63.97    0.00
 2015 253    79     0     1    30.1   22.7    7.4    1.87    2.24    3.43    2.63    2.61    1.79    1.68    1.67    0.08    0.07  138.48  108.00    0.39   16.93    0.00  121.55   78.49   64.44    0.00
 2015 254    80     0     1    30.9   23.9    7.1    1.31    2.14    3.72    3.00    2.78    1.69    1.60    1.60    0.07    0.07  139.96  109.65    0.39   17.09    0.00  122.87   78.49   64.89    0.00
 2015 255    81     0     1    31.6   24.5    7.1    1.60    2.21    3.74    3.07    2.86    1.71    1.62    1.59    0.07    0.07  141.34  110.84    0.39   17.24    0.00  124.10   78.49   65.41    0.00
 2015 256    82     0     1    32.4   25.4    7.0    2.22    2.50    3.90    3.00    2.80    1.66    1.59    1.56    0.07    0.07  142.88  112.35    0.40   17.41    0.00  125.46   78.49   66.01    0.00
 2015 257    83     0     1    33.8   27.1    6.7    2.93    2.88    4.21    2.99    2.80    1.57    1.52    1.51    0.07    0.07  144.42  114.00    0.40   17.59    0.00  126.83   78.49   66.01    0.00
 2015 258    84     0     1    35.1   28.7    6.4    3.01    3.38    4.58    3.00    2.82    1.45    1.46    1.45    0.07    0.07  145.90  115.61    0.40   17.76    0.00  128.14   78.49   66.01    0.00
 2015 259    85     0     1    36.4   30.2    6.2    3.41    3.71    4.91    3.02    2.83    1.43    1.41    1.39    0.07    0.06  147.38  117.11    0.40   17.94    0.00  129.44   78.49   66.01    0.00
 2015 260    86     0     1    37.6   31.6    6.0    2.95    4.18    5.39    3.03    2.84    1.37    1.37    1.34    0.07    0.06  148.75  118.54    0.40   18.11    0.00  130.64   78.49   66.01    0.00
 2015 261    87     0     1    38.7   32.8    5.9    3.20    4.32    5.81    3.03    2.85    1.42    1.36    1.30    0.07    0.06  150.09  119.77    0.40   18.29    0.00  131.81   78.49   66.01    0.00
 2015 262    88     0     1    39.9   34.1    5.8    4.03    4.60    5.98    3.02    2.84    1.41    1.33    1.27    0.06    0.06  151.44  121.06    0.40   18.47    0.00  132.97   78.49   66.01    0.00
 2015 263    89     0     1    41.0   35.4    5.6    2.47    4.80    6.67    3.30    2.85    1.35    1.29    1.23    0.06    0.06  152.72  122.33    0.40   18.64    0.00  134.08   78.49   66.01    0.00
 2015 264    90     0     1    42.1   36.5    5.6    2.14    4.40    6.82    3.93    2.99    1.40    1.31    1.23    0.06    0.06  154.08  123.45    0.40   18.84    0.00  135.24   78.49   66.01    0.00
 2015 265    91     0     1    43.3   37.5    5.7    2.41    4.24    6.76    4.23    3.23    1.45    1.34    1.24    0.06    0.06  155.37  124.46    0.40   19.02    0.00  136.35   78.49   66.01    0.00
 2015 266    92     0     1    44.2   38.4    5.7    3.08    4.37    6.74    4.27    3.36    1.44    1.34    1.24    0.06    0.06  156.77  125.65    0.40   19.22    0.00  137.55   78.49   66.27    0.00
 2015 267    93     0     1    45.4   39.8    5.6    3.99    4.69    6.89    4.24    3.35    1.39    1.30    1.22    0.06    0.06  158.16  126.99    0.40   19.42    0.00  138.74   78.49   66.27    0.00
 2015 268    94     0     1    46.5   41.1    5.4    4.40    4.98    7.18    4.25    3.36    1.30    1.26    1.18    0.06    0.06  159.50  128.33    0.40   19.62    0.00  139.88   78.49   66.27    0.00
 2015 269    95     0     1    47.6   42.4    5.2    4.79    5.26    7.45    4.26    3.38    1.20    1.21    1.14    0.06    0.06  160.76  129.62    0.40   19.81    0.00  140.95   78.49   66.27    0.00
 2015 270    96     0     1    48.7   43.7    5.0    5.17    5.54    7.72    4.28    3.39    1.15    1.15    1.10    0.06    0.06  162.02  130.91    0.40   20.01    0.00  142.02   78.49   66.27    0.00
 2015 271    97     0     1    49.7   45.0    4.7    3.95    6.44    8.11    4.29    3.40    1.07    1.09    1.05    0.06    0.06  163.24  132.18    0.40   20.20    0.00  143.04   78.49   66.27    0.00
 2015 272    98     0     1    50.7   46.1    4.7    4.15    6.66    8.43    4.28    3.40    1.15    1.09    1.01    0.06    0.05  164.52  133.30    0.40   20.40    0.00  144.12   78.49   66.27    0.00
 2015 273    99     0     1    51.8   47.2    4.6    4.27    6.85    8.84    4.25    3.39    1.18    1.09    0.97    0.06    0.05  165.79  134.41    0.40   20.61    0.00  145.18   78.49   66.27    0.00
 2015 274   100     0     1    52.8   48.2    4.6    4.57    6.81    9.25    4.24    3.39    1.23    1.11    0.96    0.05    0.05  167.02  135.41    0.40   20.82    0.00  146.20   78.49   66.27    0.00
 2015 275   101     0     1    53.9   49.3    4.6    5.47    7.20    9.26    4.20    3.37    1.22    1.09    0.95    0.05    0.05  168.26  136.50    0.40   21.03    0.00  147.23   78.49   66.27    0.00
 2015 276   102     0     1    54.8   50.3    4.5    6.70    7.43    9.26    4.16    3.36    1.20    1.08    0.92    0.05    0.05  169.45  137.57    0.40   21.23    0.00  148.21   78.49   66.27    0.00
 2015 277   103     0     1    55.8   51.4    4.4    2.92    6.81   10.73    4.87    3.37    1.14    1.05    0.89    0.05    0.05  170.58  138.64    0.40   21.43    0.00  149.14   78.49   66.27    0.00
 2015 278   104     0     1    56.8   52.2    4.6    3.12    6.16   10.09    6.18    3.44    1.21    1.10    0.94    0.05    0.05  171.83  139.45    0.40   21.67    0.00  150.15   78.49   66.27    0.00
 2015 279   105     0     1    57.9   53.3    4.6    2.81    5.83   10.17    6.71    3.67    1.22    1.11    0.95    0.05    0.05  173.19  140.51    0.40   21.92    0.00  151.27   78.49   66.27    0.00
 2015 280   106     0     1    58.9   54.2    4.7    3.23    5.58    9.70    6.93    4.38    1.26    1.14    0.98    0.05    0.05  174.49  141.45    0.40   22.16    0.00  152.34   78.49   66.27    0.00
 2015 281   107     0     1    60.0   55.3    4.8    4.06    5.83    9.84    6.88    4.37    1.26    1.14    0.99    0.05    0.05  175.84  142.53    0.40   22.39    0.00  153.44   78.49   66.27    0.00
 2015 282   108     0     1    61.1   56.4    4.7    5.07    6.15    9.90    6.81    4.35    1.21    1.11    0.99    0.05    0.05  177.11  143.66    0.40   22.62    0.00  154.49   78.49   66.27    0.00
 2015 283   109     0     1    62.1   57.6    4.5    2.52    5.97   10.54    7.56    4.49    1.14    1.08    0.97    0.05    0.05  178.35  144.81    0.40   22.85    0.00  155.50   78.49   66.27    0.00
 2015 284   110     0     1    63.2   58.5    4.7    2.28    5.34   10.17    8.21    5.14    1.19    1.11    0.99    0.05    0.05  179.65  145.73    0.40   23.10    0.00  156.55   78.49   66.27    0.00
 2015 285   111     0     1    62.7   57.9    4.8    2.88    5.11    9.48    8.13    5.60    1.24    1.14    1.01    0.05    0.05  180.95  146.67    0.40   23.34    0.00  157.61   78.49   67.77    0.00
 2015 286   112     0     1    63.9   59.1    4.8    3.78    5.40    9.65    8.06    5.58    1.21    1.13    1.00    0.05    0.05  182.37  147.88    0.40   23.58    0.00  158.78   78.49   67.77    0.00
 2015 287   113     0     1    65.0   60.3    4.6    4.85    5.77    9.75    7.97    5.55    1.16    1.10    0.99    0.05    0.05  183.72  149.11    0.40   23.82    0.00  159.89   78.49   67.77    0.00
 2015 288   114     0     1    66.0   61.5    4.5    5.24    6.04    9.99    7.98    5.56    1.08    1.06    0.96    0.05    0.05  184.98  150.31    0.40   24.06    0.00  160.92   78.49   67.77    0.00
 2015 289   115     0     1    67.0   62.7    4.3    5.62    6.29   10.23    7.99    5.57    0.99    1.01    0.93    0.05    0.05  186.18  151.48    0.40   24.28    0.00  161.90   78.49   67.77    0.00
 2015 290   116     0     1    67.9   63.8    4.1    5.99    6.54   10.46    8.00    5.58    0.89    0.97    0.90    0.05    0.05  187.33  152.61    0.40   24.50    0.00  162.83   78.49   67.77    0.00
 2015 291   117     0     1    68.9   64.9    3.9    6.33    6.77   10.69    8.01    5.60    0.90    0.92    0.86    0.05    0.05  188.51  153.71    0.40   24.72    0.00  163.78   78.49   67.77    0.00
 2015 292   118     0     1    69.8   66.0    3.8    6.69    7.00   10.90    8.02    5.61    0.88    0.88    0.82    0.05    0.05  189.62  154.78    0.40   24.94    0.00  164.68   78.49   67.77    0.00
 2015 293   119     0     1    70.6   67.0    3.6    7.04    7.21   11.12    8.03    5.62    0.82    0.83    0.78    0.05    0.05  190.68  155.82    0.40   25.15    0.00  165.53   78.49   67.77    0.00
 2015 294   120     0     1    71.4   68.0    3.4    7.39    7.41   11.31    8.04    5.63    0.76    0.79    0.74    0.04    0.05  191.67  156.79    0.40   25.35    0.00  166.32   78.49   67.77    0.00
 2015 295   121     0     1    72.2   68.9    3.2    7.71    7.60   11.49    8.05    5.64    0.74    0.75    0.70    0.04    0.04  192.63  157.71    0.40   25.55    0.00  167.08   78.49   67.77    0.00
 2015 296   122     0     1    72.9   69.8    3.1    8.03    7.77   11.66    8.06    5.65    0.70    0.72    0.67    0.04    0.04  193.52  158.57    0.40   25.73    0.00  167.79   78.49   67.77    0.00
 2015 297   123     0     1    73.5   70.6    2.9    8.34    7.93   11.83    8.06    5.66    0.65    0.68    0.63    0.04    0.04  194.35  159.39    0.40   25.90    0.00  168.45   78.49   67.77    0.00
 2015 298   124     0     1    74.1   71.4    2.7    8.63    8.08   11.98    8.07    5.67    0.60    0.65    0.59    0.04    0.04  195.11  160.16    0.40   26.06    0.00  169.05   78.49   67.77    0.00
 2015 299   125     0     1    74.7   72.1    2.6    8.89    8.23   12.12    8.08    5.68    0.56    0.61    0.56    0.04    0.04  195.82  160.88    0.40   26.21    0.00  169.61   78.49   67.77    0.00
 2015 300   126     0     1    75.2   72.7    2.4    9.13    8.36   12.25    8.08    5.69    0.52    0.58    0.52    0.04    0.04  196.47  161.54    0.40   26.35    0.00  170.12   78.49   67.77    0.00
 2015 301   127     0     1    75.7   73.4    2.3    9.35    8.48   12.37    8.09    5.70    0.50    0.54    0.49    0.04    0.04  197.08  162.17    0.40   26.49    0.00  170.60   78.49   67.77    0.00
 2015 302   128     0     1    76.1   74.0    2.1    6.61   10.08   12.49    8.10    5.71    0.47    0.51    0.45    0.04    0.04  197.65  162.76    0.40   26.61    0.00  171.04   78.49   67.77    0.00
 2015 303   129     0     1    76.7   74.5    2.2    6.61   10.31   12.59    8.10    5.72    0.62    0.50    0.42    0.03    0.04  198.39  163.32    0.40   26.76    0.00  171.63   78.49   67.77    0.00
 2015 304   130     0     1    77.2   75.1    2.1    8.55   10.49   12.26    7.98    5.67    0.69    0.49    0.39    0.03    0.04  199.07  163.89    0.40   26.89    0.00  172.18   78.49   67.77    0.00
